               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.020564,           0.0072811,           0.0051496,             0.99889,             0.99931,               0.995,             0.79038,            0.016954,           0.0025246,          0.00039296,             0.00505,             0.00505,             0.00505
                  52,            0.020674,           0.0073066,           0.0053855,             0.99757,             0.99965,             0.99498,             0.79394,            0.016935,           0.0025133,          0.00032478,            0.004951,            0.004951,            0.004951
                  53,            0.020737,           0.0074176,           0.0050974,             0.99872,                   1,               0.995,              0.7927,            0.016969,           0.0025234,          0.00031421,            0.004852,            0.004852,            0.004852
                  54,            0.020322,           0.0072812,           0.0048938,              0.9989,                   1,               0.995,             0.79347,            0.016884,           0.0025246,          0.00027555,            0.004753,            0.004753,            0.004753
                  55,            0.020309,            0.007263,           0.0047114,             0.99907,             0.99941,               0.995,             0.79041,            0.016872,           0.0025432,          0.00029614,            0.004654,            0.004654,            0.004654
                  56,            0.020144,           0.0071949,            0.004502,             0.99835,             0.99933,             0.99493,             0.79131,            0.016983,            0.002537,           0.0003341,            0.004555,            0.004555,            0.004555
                  57,            0.019887,           0.0073141,           0.0047248,             0.99892,                   1,               0.995,             0.79366,            0.016729,           0.0025103,          0.00025401,            0.004456,            0.004456,            0.004456
                  58,            0.019858,           0.0071939,           0.0043767,             0.99865,                   1,               0.995,             0.79468,            0.016921,           0.0025339,          0.00018801,            0.004357,            0.004357,            0.004357
                  59,            0.019797,           0.0071227,           0.0044666,             0.99894,                   1,               0.995,             0.79638,             0.01655,           0.0024978,          0.00020048,            0.004258,            0.004258,            0.004258
                  60,            0.019755,           0.0071729,           0.0043138,             0.99909,                   1,               0.995,             0.79494,            0.016693,            0.002543,          0.00023182,            0.004159,            0.004159,            0.004159
                  61,            0.019696,           0.0070644,           0.0043332,             0.99834,             0.99902,             0.99493,             0.79825,            0.016585,           0.0025051,           0.0002634,             0.00406,             0.00406,             0.00406
                  62,            0.019473,           0.0072729,           0.0044974,             0.99908,                   1,               0.995,               0.792,            0.016596,           0.0025174,          0.00021123,            0.003961,            0.003961,            0.003961
                  63,            0.019432,           0.0071052,           0.0043447,             0.99877,             0.99922,               0.995,             0.79926,            0.016559,           0.0024919,          0.00025213,            0.003862,            0.003862,            0.003862
                  64,            0.019468,           0.0072017,           0.0043144,             0.99892,                   1,               0.995,             0.80116,            0.016284,           0.0024734,          0.00017257,            0.003763,            0.003763,            0.003763
                  65,             0.01924,           0.0070734,           0.0039818,             0.99914,                   1,               0.995,             0.80004,            0.016206,           0.0024722,          0.00017021,            0.003664,            0.003664,            0.003664
                  66,            0.019113,           0.0070211,           0.0041119,             0.99919,                   1,               0.995,             0.80156,            0.016343,            0.002476,          0.00018095,            0.003565,            0.003565,            0.003565
                  67,            0.018899,           0.0069424,           0.0038547,             0.99824,                   1,               0.995,             0.79387,            0.016691,           0.0025236,          0.00016461,            0.003466,            0.003466,            0.003466
                  68,            0.018923,           0.0069527,           0.0038976,             0.99899,                   1,               0.995,             0.79944,            0.016377,           0.0024847,          0.00015147,            0.003367,            0.003367,            0.003367
                  69,             0.01892,           0.0069335,           0.0037916,             0.99895,                   1,               0.995,             0.80032,            0.016337,           0.0024741,          0.00019648,            0.003268,            0.003268,            0.003268
                  70,            0.018987,           0.0069393,           0.0036959,             0.99879,                   1,               0.995,             0.79883,            0.016327,           0.0024766,          0.00015213,            0.003169,            0.003169,            0.003169
                  71,            0.018668,           0.0068517,           0.0037563,             0.99915,                   1,               0.995,             0.80383,            0.016326,           0.0024742,          0.00013485,             0.00307,             0.00307,             0.00307
                  72,            0.018553,           0.0069315,           0.0038611,             0.99895,                   1,               0.995,             0.79956,            0.016305,           0.0024808,          0.00014995,            0.002971,            0.002971,            0.002971
                  73,            0.018354,           0.0068218,           0.0036743,             0.99905,                   1,               0.995,             0.80441,            0.016098,           0.0024525,          0.00012265,            0.002872,            0.002872,            0.002872
                  74,            0.018282,           0.0068999,           0.0034919,             0.99901,                   1,               0.995,             0.80317,            0.016116,           0.0024398,          0.00011594,            0.002773,            0.002773,            0.002773
                  75,            0.018287,           0.0068677,           0.0038301,             0.99913,                   1,               0.995,              0.8061,            0.016138,           0.0024509,          0.00012391,            0.002674,            0.002674,            0.002674
                  76,            0.018151,           0.0066727,           0.0035946,             0.99907,                   1,               0.995,               0.805,            0.016155,           0.0024482,           0.0001257,            0.002575,            0.002575,            0.002575
                  77,            0.017993,           0.0068257,           0.0034606,             0.99922,                   1,               0.995,             0.80458,            0.016231,             0.00246,          0.00011998,            0.002476,            0.002476,            0.002476
                  78,            0.017924,           0.0067255,           0.0034294,             0.99911,             0.99991,               0.995,             0.80675,            0.016119,           0.0024591,          0.00011371,            0.002377,            0.002377,            0.002377
                  79,            0.017706,           0.0066772,           0.0032126,             0.99919,                   1,               0.995,             0.80813,            0.016062,            0.002445,          0.00010829,            0.002278,            0.002278,            0.002278
                  80,            0.017709,           0.0066896,           0.0031059,             0.99885,                   1,               0.995,             0.80564,            0.016134,           0.0024523,          0.00010214,            0.002179,            0.002179,            0.002179
                  81,             0.01786,           0.0067202,           0.0033736,             0.99932,                   1,               0.995,             0.80593,            0.016165,           0.0024348,          9.4556e-05,             0.00208,             0.00208,             0.00208
                  82,            0.017736,           0.0066115,           0.0030669,             0.99904,             0.99987,               0.995,             0.80521,            0.016149,           0.0024395,          9.8339e-05,            0.001981,            0.001981,            0.001981
                  83,            0.017523,           0.0067176,            0.002742,             0.99913,                   1,               0.995,             0.80814,            0.016164,            0.002452,          8.2074e-05,            0.001882,            0.001882,            0.001882
                  84,            0.017453,           0.0066476,           0.0030805,             0.99921,                   1,               0.995,              0.8066,            0.016095,           0.0024397,          8.1337e-05,            0.001783,            0.001783,            0.001783
                  85,            0.017361,           0.0066763,           0.0029966,             0.99912,                   1,               0.995,             0.80952,             0.01595,           0.0024183,          8.2717e-05,            0.001684,            0.001684,            0.001684
                  86,            0.017336,           0.0065436,           0.0029539,             0.99905,                   1,               0.995,             0.80899,            0.016036,           0.0024263,          8.3458e-05,            0.001585,            0.001585,            0.001585
                  87,             0.01708,           0.0065751,           0.0027927,             0.99889,                   1,               0.995,             0.80836,             0.01599,           0.0024273,          6.8546e-05,            0.001486,            0.001486,            0.001486
                  88,            0.017025,           0.0064882,            0.002918,             0.99895,                   1,               0.995,             0.80882,            0.015992,           0.0024306,          6.5878e-05,            0.001387,            0.001387,            0.001387
                  89,            0.017107,           0.0065974,           0.0029253,             0.99915,                   1,               0.995,             0.80688,            0.015982,           0.0024269,          6.3195e-05,            0.001288,            0.001288,            0.001288
                  90,            0.016788,           0.0063699,            0.002789,             0.99909,                   1,               0.995,             0.80719,            0.015977,           0.0024332,          6.6779e-05,            0.001189,            0.001189,            0.001189
                  91,            0.016676,            0.006396,            0.002677,             0.99916,                   1,               0.995,             0.80901,             0.01604,           0.0024293,          6.3044e-05,             0.00109,             0.00109,             0.00109
                  92,            0.016406,           0.0064302,           0.0026745,             0.99902,                   1,               0.995,              0.8108,            0.015896,           0.0024187,          5.9421e-05,            0.000991,            0.000991,            0.000991
                  93,            0.016566,           0.0063676,           0.0027832,             0.99897,                   1,               0.995,             0.81164,            0.015878,           0.0024211,          6.0661e-05,            0.000892,            0.000892,            0.000892
                  94,            0.016399,            0.006374,            0.002488,             0.99901,                   1,               0.995,             0.80906,            0.015924,           0.0024164,           6.189e-05,            0.000793,            0.000793,            0.000793
                  95,            0.016345,           0.0063844,            0.002496,             0.99919,                   1,               0.995,             0.80917,            0.015914,           0.0024134,          5.3911e-05,            0.000694,            0.000694,            0.000694
                  96,            0.016277,           0.0063404,           0.0023271,             0.99917,                   1,               0.995,             0.81161,            0.015893,           0.0024194,          4.7995e-05,            0.000595,            0.000595,            0.000595
                  97,            0.016207,           0.0063676,           0.0023361,              0.9991,                   1,               0.995,             0.81207,            0.015848,           0.0024181,          4.4634e-05,            0.000496,            0.000496,            0.000496
                  98,            0.016258,           0.0064096,           0.0024755,             0.99908,                   1,               0.995,             0.81252,             0.01581,           0.0024103,          4.6317e-05,            0.000397,            0.000397,            0.000397
                  99,            0.015976,           0.0062567,           0.0023533,             0.99917,                   1,               0.995,             0.81234,            0.015807,           0.0024172,          4.2014e-05,            0.000298,            0.000298,            0.000298
